,index,text,istwitterpoem
61,61,"Burden free to be 
at your mercy—because your 
love is undeterred 💎

   
  
  
 
 5/7/5
 
",1
62,62,".
Lies are weak
as cobwebs
no matter
how many flies
hang from its threads

the ground hugs
the dessicated corpses
of truth.

",1
63,63,Christmas card / frosty smiles from children / I've never met   ,1
64,64,"Running right now
One of those days
Similar to his heart
Expecting the whole internet
Getting the last urinal
©
 
 
 
 
",1
65,65,"2012,  up past news,  sign up terms conditions cookies,  aid social media ",1
66,66,"In lieu of our participation of,

     Sharing li(f)e without prejudice

     ",1
67,67,"Umbilical cord cut I float into gray spaces, unmarked trails and a spider web of indecision.  ",1
68,68,"He surfs his dream-shaped
pillow on the waves of the
ocean of the night
  ",1
69,69,"From Life Is a Busy Affair:

We forget to breathe 
agape to one degree or another 
we can either distract ourselves 
or settle in by the hearth 
hope dark angels pass over us.

      ",1
70,70,"after nightfall
I am lost
without you
 ",1
71,71,"Monday, / tossed and turned. / Wanting the thing / I like best about you -- / no fear.  ",1
72,72,I feel like writing a  that's just a random string of alphanumeric characters punctuated by profanity.,1
73,73,"less than ferocious ~
my cat cries and butts my leg ~
pet me please right now

  ",1
74,74,"I said ""I love you"" ~ she said nothing but sent a ~ restraining order.  ",1
75,75,"I have been with your silence
Since a while.
And I am getting okay with it. 

  ",1
76,76,"Our vexed world...
A sun named sex,
and a moon called love.

   ",1
77,77,a hundred thousand sewing machines~a nation modernized~railroad future claimed  ,1
78,78,"You mustn't reach to deep
Poets and Poetesses,
what you want to express,
lies underneath
the skin

 ",1
79,79,"Namaste 
I can feel you w/in me
Glory be,dear spirit
Hello,fellow soul
My reflection I see
In your eyes,our world 
 ",1
80,80,Words emerge ~ roiling with reek ~ smouldering in flame ~ inscribed on rock they tell the way. ,1
81,81,Glow in the darkness / Sign of civilization / Stains the graceful night - DKA   ,1
82,82,"It's a pity Mary Wollstonecraft Shelley
never appeared on the telly,
for then ""Frankie, or the Modern Prometheus""
could have made her rich as Croeseus.
   ",1
83,83,"I am the leaves
on your ground
the place your feet
have found
that is my hair
you have laid on
life is full

 ",1
84,84,"perching blue jay 
at least one sign of Spring
to hunger for

 (least)
  
 ",1
85,85,Love me early love me late love me and kiss me don't make me wait  ,1
86,86,"enduring love
the fawn runs awkwardly
to the doe
kind of 
makes 
you glow
 ",1
87,87,"

I thirst for you
not the fires we've shared
but those quiet moments
where your heartbeat
is the thunder calling my name
&amp; my soul is the gentle rain
cleansing your heart

count 169
 


",1
88,88,On this cold ~ wintry morn ~ seek your warm breath ~ to burn ~ my soul   ,1
89,89,"on a plain
lithium flowers
are in bloom
regardless
my compass points to 
oh well
whatever
nevermind

 ",1
90,90,"Life's simple. You rent his place, you pay the bill (pray). If not, you owe him big (sin).  ",1
91,91,"�/creels of cold and some word
    humanity,
 and then the whole of the odor of the street
 that with the eye sly there is a minute
 and the streets of the flowers and blood like a rock for a street
 in the streets and slow walls and flowers and the world

  ",1
92,92,Rainfall ~ into the thirsty soil ~ the magic of creation ~ bringing new life - Caroline A. Slee ,1
93,93,"humid haze
summer pushing
spring to the
sideboard©



Revised",1
94,94,"Somewhere I held your dreams, misplaced them like car keys. Today I found them, right where you left them - in my heart.   ",1
95,95,"no longer does the anxiety that increases as the day progresses/
get reset by sleep: he opens his eyes, recharged enough to punch/
in vain, only to find the vulture’s bloody head gnawing his heart
      ",1
96,96,"liars are the badest gangsters of all ~ killing the truth ~ turning love to distrust
",1
97,97,"Ordering a man to write a  is like commanding a pregnant woman to give birth to a red-headed child.

- Carl ",1
98,98,"TIME~you elusive BITCH~sneaky~eating up my life~second by second~leaving me begging for more.
 ©
1/6/13saf",1
99,99,"she befriends
loneliness

her constant
companion

becoming used
to its quiet voice.

",1
100,100,"in a pipeone
out of her eye the stars...
another bite soon

 ",1
101,101,"Want
Know 
There's something 
for you unknown 
 ",1
102,102,Light of the candle ~ illuminates two lovers ~ death separates them.  ,1
103,103,"I stand frozen
In shadows of truth
Waves of memory
Endlessly pictured
In my mind
     ",1
104,104,"It took my hand 
Embraced my pain
It asked for nothing 
And so I remain..  Part 2

    ",1
105,105,"A dream withers
Returns to the shifting sand
Blooming again
O' tenuous Spring give me
Nothing if time should end
",1
106,106,"let
me touch your face
and your lace
both sets of lips
will
get
a kiss
of bliss

",1
107,107,"he
reads
under
the lamp

as she
scurries
about

trying to find
the last bits
of sunlight
saved up

last summer

",1
108,108,"Felt! Dead Susquitter

Start at the fronty wall, known 't was that.

  ",1
109,109,"When we grow old 
We begin to fade.
Everyone is crucified
One way or the other....
   ",1
110,110,"Gloucester, I have nightly since
Dreamt of encounters 'twixt  ",1
111,111,Amongst the stars in outer space Man's detritus is littered ~ Mostly by the endless words we ejaculate via twitter!~~~~ ,1
112,112,"There's nothing there, there's no one there, it's empty everywhere. I search but cannot find.  Lost almost blind; no one there for me. ",1
113,113,"I cannot undo, 
the ragged stitches, 
the fraying hems,
to detangle, what you
already undid.

 ",1
114,114,"From leaning out:

a peaceful repose leaning out

      ",1
115,115,"I’m so thankful for,
all that those who fight for our,
human rights have done!
      ",1
116,116,"    
The fabric
of my complacency
is torn.",1
117,117,There is a moment in timeWhen you step past the precipiceAnd make a choiceRight or wrongYou live with the consequences,1
118,118,"a high heat
perturbed the pot
shaking the lid
a lot
which was kinda cool

  ",1
119,119,members ~ of the star community ~ adore the moon ~ want him to run ~ for mayor //  ,1
120,120,"

I blanket her soul
with the shadow
of my love
less
she'll dream of another
better at keeping
the promises
I never did
keep

count 123

 


",1
121,121,"warm up to me,
little girl,
I have no one to give these sweets to,
and I know you'll like them so.
  ",1
122,122,I am a dramatic free flow in’ poetry and explosives nouns floundering verbs being absurd...adjectives getting itchy with those damn pronouns and I just wanna write a little ditty..       ,1
123,123,"she shiplapped 
the way to her soul

   ",1
124,124,"no need for upgrade
the best task of honeybees
in making honey
   (upgrade, make) ",1
125,125,"I rang a number from a bathroom stall and it said ""all the guardian angels are busy and unable to take your call""   ",1
126,126,later and later ~ sunrise ~ rolls over in my bed    ,1
127,127,"

I thought her
neither demon
or saint
just a fallen angel
seeking to taste
the love of man
that of passion
of ecstasy
of everything
the heavens had denied
&amp; man had squandered

count 175

 


",1
128,128,"A heart so fragile 
Made of glass
Holding teardrops
From the past ~~
",1
129,129,"""Some trouble, officer?
Nothing here.
Not where we live.
Look over there,
where those weirdos live.
We don't have no
trouble here, officer.
Unless they come
looking for it.""
 

",1
130,130,"the shoals of dawn
the cliffs of remembrance
the shade that colors in grey
what used to be yesterday
 ",1
131,131,"Onward and forward with my magnum opus of writing 26 poems inspired by the 26 episodes of ""The World At War"". After an epic struggle of doing several drafts of poem 11, I am now ready to start work on poem 12.  ",1
132,132,Time is a label but it doesn't truly exist. ,1
133,133,"

he knew
somewhere
in those messages
was her number
her name
&amp; the promise
of a new dawn
somewhere
between the bills
&amp;
yesterday
was all the hope
he thought
the promise
of her
knew

count 172

 


",1
134,134,"Nurture love
With soft hands
And breathe
The aroma
Of love’s bloom
Hearts flutter
To fly away
To paradise ©Amitav
 ",1
135,135,Flashes of light send/Spider shadows through the bars/Yet am I unafraid/With my ancestors by my side   ,1
136,136,"rejoice, says the heart,
thankful smiles on the go, 
as the blog hits two.
   ",1
137,137,The  “America the Beautiful” by professor Katherine Lee Bates was 1st published (in a church publication)  in 1895. ,1
138,138,A hundred fake smiles~ that come strained thru the day~ you come in front of me~ and a real one shows up~ so effortlessly ,1
139,139,"old in the near
end of the audier
end of midnight watches

 ",1
140,140,"My name is Dan T
Inferno today
Sing me a shanty
In  

 
 
",1
141,141,"I am on the precipice
I am looking 
Down

On my head, I wear 
this crown

A king who hears 
a siren's sound

Will I resist, or fall
Into the abyss
And drown
Just to hear her song?

   ",1
142,142,"Wake early

if you want

another man’s life or land.

No lamb

for the lazy wolf.

No battles won in bed. ",1
143,143,"Cure dissolve
Phantasm emerge 
Secret society 
Ant carrying a fly wing 
To home base
Thump thump. 

 ",1
144,144,"juices down my chin ~ can't sponge it up with a cloth ~ dribblin' like wet paint   ""down"" ",1
145,145,"Your peace
I protect
Your love
I seek out
Your heart
I will guard
  ",1
146,146,"Rude to keep a Lady waiting, but better for her if she can keep a Man.. in anticipation...",1
147,147,"drag me up the steps
with your broken arms
and let the hangman ramble on
then dig me twice as deep

but leave a stone
on my head for the mourners
to spit upon because only time
will lay upon it and weep

       ",1
148,148,"Books are like lungs, reading is breathing. Read. Them words, strung together are magical. We need magic, and breathing. ",1
149,149,"Another crisp autumn night
Stoking the fire hot &amp; bright
Oh Lord, what a blessed sight!





",1
150,150,I once wrote ~ well-lettered words ~ yet thoughts now so fast ~ I finish one word ~ with the end of the next.   ,1
151,151,"the tempest
of your lust
tempts me
to go deep
into you
holding your
red petals.

O wild rose,
go away.

 ",1
152,152,".
As it is fall

the lightning power
of the colored trees

takes us under
into sleep

awakens us to
the glory of light.

",1
153,153," for the wicked
Sit down and get your ticket

To a better future and tomorrow
No more pain or sorrow

Everything is now not then
We are one but different men

All you know is just a fraction
Of a cosmic energy attraction

 ",1
154,154,"""Change we must / If we have too / As sometime that's the only constant!"" Good morning people   ",1
155,155,"you see her smile
but is it real
shes crying within
but her tears
never show
no one will
ever know
why she has
to fake her
happiness.
  ",1
156,156,"the nightmare retreats in dawn's light
                   yields to a lone bird's song

 ",1
157,157,"moon hide 
as long you can
wordless song
   ",1
158,158,"She held the blade close,
the pulse trembling,
as she pressed it into
her skin, her mind
disconnected from
any feelings.

",1
159,159,A love song • Playing • My heart and soul • Singing • With Him    ,1
160,160,"Conciliatory 
white folk get kudos for not
making real effort.

 ",1
161,161,"the nice smiling dawn 
and the dulcet songs of birds 
lift hearts and minds up 
   (up)  ",1
162,162,"the sleep autumn
deadle I have time
from carriage open

 ",1
163,163,"write a lot of verse
that's sad but true
but there's nothing I can say
but oh well
give me a second (or third)
chance

",1
164,164,"so here I am
alone again
thinking of sin
and trying not to be creepy
while everyone else is sleepy
",1
165,165,"Spring's lullaby
Whispers softly
After rains
Wash winter
Away
The earth
Quietly
calms
Leaving
Subtle sounds
Of growing things
",1
166,166,"how will i cope, alone,
with passionate spring,
when winter gives
such credence to despair
© RC deWinter
",1
167,167,"Awake 
sleep 
no
more 
I'm 
lonely 
Insomnia 
 ",1
168,168,"Flourish in my cover 
I'll shield you 
when you need to hide 
from others 
 ",1
169,169,"The highs, the lows, whatever goes
I take it all in stride
The joy, the tears, I share these fears
When you are by my side

",1
170,170,"unlimited
testing capacity
teenage mood

  (test)   ",1
171,171,"Tears

When emotions
You can't control
Flow through eyes like tears

 ",1
172,172,We're not tied to society's chord of multiple broken threads. ,1
173,173,"The morning star rises yet the darkness prevails
Panic stricken, the promise of peace execrably fails! ",1
174,174,"At 7pm I watched time
turn in on itself &amp; then unfold
the perfect murmuration of starlings, so acrobatic

I dreamt of you in scarlet
the way dusk should be
but instead the sky wore shadows
oh how time can darken the world
yet let us look on &amp; up
like nothing has changed. 

",1
175,175,"Your silver tongue
A bewitching lure
It seems so pure
Then draws me in
Compelling me to come


",1
176,176,"what do you mean 'we'
don't drag me in to your mess -
I didn't shoot her

 
 
",1
177,177,"Seeds sown in childhood
Grown twisted and misshapen 
Warped by lacks and lapses 
Stunted and malformed

  ",1
178,178,"frightened. reminiscent. brown. 
  ",1
179,179,Scotch tape refills--Two fingers of paradise soonProduce wrinkled non-adhesive Plans ,1
180,180,"Whether in letters or ideas
I prefer
the cursive routine
of a pen
to the block

 ",1
181,181,"Have you
Paid rent
Have you
Paid your
Car insurance
Have you
Paid that
Loan back
Have you
Figured out
The
Future

Lucky fucker

",1
182,182,"You. Me.
So many moments.
Love lived and lost.
Mistakes forgiven.
All I wish &amp; hope for is forever!

  ",1
183,183,"each day, another step

some times forward,
at others, backward.

keep stepping.

whatever direction,
movement is hope.

      ",1
184,184,We flew past the dragons~ on fire-breathing butterflies~ that swept us past vistas~ that glittered and shone ,1
185,185,"

What are you looking for
staring up into rain
your eye-ink blinks rivulets
to your pain

this cross is only of earth
passed mouth to mouth
filling me with your nectar
until I've only one self

&amp; you are its master.
.",1
186,186,"Here you are
Beside me
Holding me
So sweetly
We kiss so smoothly
They drift in the air
You touched my hand
Give me hugging arms.

",1
187,187,"Lost in the way
 the rain serenades
  these glass windows,
   and the way your lips
    are like pressed violets
     to my skin.

 ",1
188,188,"Gooood morning folks!No my finger hasn't got a stutter,I'm just  excited for  SO pls tweet me ur spooky  &amp; I'll retweet",1
189,189,"Dog
   Barking
Whistle
   App
Quiet
   Again

 ",1
190,190,"sonnet   ~  
and haiku  ~  
thoughts unfurled  ~
fractal tapestries  

  ",1
191,191,"Damp west wind
Carries a promise—
Autumn rain

  ",1
192,192,"TREES

In the quiet morn,
trees stand tall out the window,
both living and dead.

  ",1
193,193,"faint sighs of the the sea, a far away whisper

  ?   ",1
194,194,"in case we are not • 
the center of the universe • 
wishing on a star • ©   2032",1
195,195,Words echoed~To the four corners~Over and over~On permanent replay ,1
196,196,"We are just evolved Bacteria doing as we was designed and evolved to do and  become, Microorganisms evolving into a forever., all consuming, Pathogenic Eco system annihilator ",1
197,197,"If I was to show 
you 
the folders of my 
mind 
would you be 
kind 
 ",1
198,198,"Slumber Sunday mornings, sipping coffee in the clouds. Watching a yellow spring garden swaying gently in the breeze ~ JS  ",1
199,199,"What law
Governs light
Physically
Measured
4light
With delight
Still a mystery
2science
But not theology

  ",1
200,200,"Where's the right house?

When the sun shines on the stage and breast, a carpenter set,
And some of the sun slight and the stars, and the day with the stars and the broad doors of
    the soul--the same red rising and the fire-bones,

  ",1
201,201,"

Failed funambulist
I always fall

stretch the net
&amp; find the holes

my knuckles still swollen
from my bumbling grip.
.",1
202,202,"literate. black-and-white. industrious. 
  ",1
203,203,"
If dating is tacky and we do not know us well enough to touch then we could do something in between we could put on Prince talk about that which was once easy but now terrify and let our clothes snag so that our extremities show and soon it will be time for one of us to go",1
204,204,"We are all a brand
Hustling for results
Twisting tales
To make sales

",1
205,205,"I dream of conjuring forests and streams
into being, conjuring galaxies,
conjuring worlds where everyone
in need of safety can come together
as family–
but words are all I can create.

   ",1
206,206,"Releasing guilt and inner child blues
Releasing guilt and inner child blues
Releasing guilt and inner child blues
Releasing guilt and inner child blues
:
:
:
:
        ",1
207,207,"Your gentle dreams
Of wishes brings
  Phantoms in sleepless soaring 

 ",1
208,208,"I was just a mirror.
You only loved you.
        ",1
209,209,As I hold my pillow tight I wish I had someone to wipe my tears away at night for my heart is causing me such a fright.  ,1
210,210,'He would see her in more ways than she could allow'  ,1
211,211,"Garland.  To doleful life.
France, the Great sea,
Curtained an opening.  ",1
212,212,"Born to die
Asking why
Intellectually
Why not be clever
Change to live forever
No legacy required
If life never expired
 ",1
213,213,"RICHARD II:
Thou, now a-dying, say'st ",1
214,214,"clusters of mad faces~ frowning from the day~ sleep, and dream, of me, I say.  ",1
215,215,don't picket / they cried / but why listen to scabs? ,1
216,216,I am both/ order and chaos/ balancing  ,1
217,217,"scatter the fireworks
the drive in the vernal
last wind train 

 ",1
218,218,to reach across the last river and touch what it all meant to you how love's grasp always exceeded Ur reach and the fun it was ,1
219,219,"Old Brown Porch v7
Opposition defeated, purged scourge 
Shaken &amp; beaten like rugs
Limbs lean for a moment with blasts from his past
",1
220,220,"nothing is going on
so here I sit
worried
about my life
and shit

",1
221,221, She holds a rose that hasn't quite bloomed between her forefinger and her thumb thinking of the beauty. To me this is poetry.,1
222,222,"Walking under
the feathery drizzle
I wondered
Why I love rains
more than
the pretty rainbows
Perhaps
pouring emotions
chime with
my inner rhythm
more than 
the sparkling pot of gold!
-SS
🌧 🌧 🌧 🌧 🌧

    ",1
223,223,"Between the poet ~ 
and his verse ~ 
sprinkle of moonshine ~ 
in an empty ~ 
honeypot 
  ",1
224,224,"L is for ‘laughter’ we had along the way. O is for ‘optimism’ you gave me every day. V is for ‘value’ of being my best friend. E is for ‘eternity,’ a love that has no end. ",1
225,225,"empty playing fields,
tree lines shimmering at noon—
lone ice cream vendor

(from Haikuism poet Sakura Sunrise)   ",1
226,226,"Poetweet© sequence pt 2

beluga ghosts
undulate beside our boat
sea canaries
and whalebone harps
singing the horizon

 ",1
227,227,"Decaying flowers
Worn in her long dying hair
A ghost did visit

 ",1
228,228,"Eat this slice of time
In the quiet fore the storm
Silent, my hunger

    ",1
229,229,"Peek a boo
I see you
tucked behind cloth
little tattoo

",1
230,230,"covid19
the pandemic ain’t over yet
scary new stats
the result of premature opening
another gift from The Donald

      ",1
231,231,"soliloquy
in the park
i keep walking

    ",1
232,232,"Mind imagination..✨✒💭🌌

There's something wide  
Deep.. in my mind
World, sun, moon
Light, dark and rain
Something too wide
Can not explain.

  ",1
233,233,"It’s almost 3am - 
here again - 

wondering - 

listening to Daryl -
Waking - walking dead - 
s10e3

religion-culting - 
frictioning with -
secularing-civil-lies-nationing 
",1
234,234,"I will give my all, i will take all the risks, just to be with you 💕

   
 ",1
235,235,"i count the morning
stars the air so sweet i turn
riverdark with sound.

~ Sonia Sanchez

        ",1
236,236,"Where
Love
Never
Grows,
Not
You©
       ",1
237,237,"lost his mind
softly utters
thank you


",1
238,238,"words are a (clumsy) art...
they stumble through
my emotions
ever attempting
to express what i
repress in my heart.

",1
239,239,"I know that I will only be
truly free
when I stop waiting for 
someone else
to approve the start of me
being myself
 ",1
240,240,"I ask the robin
to help me see
the beauty of life
because you have gone
and taken my reason with you
 ",1
241,241,"Greetings, Scribe!
You have given my heart such a warm glow,
Mind awakened, words, shall flow.
    ",1
242,242,"Once your sort out all this
find your niche
and dig in for the duration
Control the narrative
in this age of specialization
",1
243,243,"I stand in the dark field
in the intimate night
knowing there is
a wisdom of stars
waiting beyond.
   ",1
244,244,"expectation
possibility

a woman, pregnant,
in the darkness
dreaming stuff
she will 
not remember

come the light. Always
the light
",1
245,245,"  

flirting with a
girl half my age
just because she smiled 
and it's spring
April fool",1
246,246,"... confused

nothing is 
the same

clouds rushing
ahead of the
gathering
dark©

",1
247,247,"X when they are long right as they can really want
    to yourself around to the animal.

  ",1
248,248,"Thoughts which wrap
me in your arms,
make you search
for my deepest desire
     ",1
249,249,"High and higher,
loveliest of kites - 
from the beggar's hut
-Kobayashi Issa      ",1
250,250,"when my mind
was on money
I made money
when my mind
was on love
I made love
easy choice

",1
251,251,The mist on your window ～ On a rain washed morn ～ Reminds of those summer nights ～ Those today stand forlorn. ,1
252,252,"The moon said,
I will make you rise.
The sea stood,
Brimming with life. 

 ",1
253,253,"There can be

no real peace

in a heart that

lacks any burden

for compassion.

      - deanna rizzo 

     ",1
254,254,"Disturbed nights
Evil delights
Waiting wings
Darkness sings
Change direction
Turn off the light
Settle here
In endless night

",1
255,255,"Any  out there want to do a  on Days of Wine and Roses to reflect the time we're in today? Maybe the  would be called Years of  and ?

",1
256,256,"I am you, you are me,
that much is clear to the 
laughing Gods of this 
most peculiar galaxy.

",1
257,257,"Once I was excited
To see a Rose in bluest hue-
Alas but 'tis not true
 (Blue Moon Rose) ",1
258,258,amidst the decay of youthful fervor ~ in search of a silver trout ,1
259,259,"your name is unimportant :
just as the names of all
those stars were unimportant
to the beauty of the night :

 ",1
260,260,azure skies / and scudding clouds / like little bits / of old poems / coming to his rescue  ,1
261,261,A soft windless snow ~ drapes all the trees ~ in bridal veils. ,1
262,262,"Time To Die Idol
Dutchman’s Tears Reign Now Through Time
Silver Screen Force High

 (force)       

For ",1
263,263,Itinerant quacks // excel in malarkey // selling nasty plans   ,1
264,264,"""field flowers are lovely""  / as if  / home-made - A. D'Agio ",1
265,265,"Enjoy your day now,
and relax to feel all of,
the moment so nice!
   önköping        ",1
266,266, nothing is gained from pain except our accepting the contraction instead of holding our light up and in the open,1
267,267,"I'm pretty much wrecked after reading Sylvia and Adrienne's master pieces.  is too hard for my dull, dull head.",1
268,268,"marked. gratis. longing. 
  ",1
269,269,January / the bridge between us / iced over    ,1
270,270,"waiting
wipers up
snow day

",1
271,271,I wanna be a cocktail wet torn napkin .,1
272,272,"- How much longer
Until I own her?
- An eternity at least
If she does not resist.
       ",1
273,273,I would you make me smile in France.  ,1
274,274,"Cirque  

Salt skin smack
Crook the new book’s spine back
Tidy your room
Bin the dead blooms
Another sloughed skin
Richer blood
Begin",1
275,275,"I owe you my life
For home, for food, but also
Owe my suffering
   ",1
276,276,"

The sense of remoteness
a granite crag in your shape
on a rocky shore
so impervious to movement
by any force
especially itself
&amp; yet
there is the tiny millennial grind
water and grit
so rarely perceived
in a human life.
.",1
277,277,"quick bang
I order all when sometasts
sheet planting

 ",1
278,278,His desiccated charm ~ flutters unseen ~ in gritty gutters ~ as he struts ~ the boulevarde ~ of his youth.  ,1
279,279,"poem is

counter discourse
to your counter
discourse's
counter
discourse 

and so it
goes

until every mirror
in the glade
is smashed ",1
280,280,"Definition of insanity -

its routine
its safe

so what do i do?

roll and talk
pictures to topic

i a wolf bork...

yes im hard to get to know... 

  ",1
281,281,"my eyes east
this morning
dark with stars

 ",1
282,282,"We have come full circle
To a place we have been before
The time has come to part
Yet I would ask for more
  ",1
283,283,"3, or the brother's will, and
    the world in what the girls and wars are lying.

The death is diligered for the earth, and the blood of the price
    of these things belong, and thou givest me not to be a thousand years,
    and the judgments of every endless poet,

 ",1
284,284,tell me something true / because i need to know you / and breath in your words   ,1
285,285,"Every poet hears
the whispers
beyond the words
the things left unsaid
but what is felt.

 ",1
286,286,".
Always the poem
tells me
what it wants to be.

  ",1
287,287,"Tell me lies
Rape my soul
All for
Days forgot
Its your youth
That you miss
Isn't it?
Or do I remind you of everything your
Not

",1
288,288,"stirring my tea sandhill cranes massage the sky

         Silk~

  
 
 
   
",1
289,289,"at the school gates;
a pirate
picks up a ninja

    ",1
290,290, When it rains God is weeping as He looks down at his narcissistic mannequins possessed by their possessions.,1
291,291,"The sun will
Ripen it
If you just stop
Hypin' it.

 ",1
292,292,In your greed ~ a sympathetic state of pathos ~ yr words touched everything ~ except the soul  ,1
293,293,"I long to be quenched
by your unsearchable core,
steeped in mystery

   ",1
294,294,"An open gate
cerulean sky
a rose petal 
felt between
your fingertips.

",1
