,text,ispoem
56,"97:
I like being
Woken deep in the
Night
When,
In-between dreams,
You'll hold me so
Tight.
   ",1
57,".
My words are not unexamined
but that does not
make them true.

",1
58,"Division still reigns soundly and happily, parading over the violent crayon scuffs, smashing these newly paper sculpted promises ",1
59,"bulboming rain
next for the weed
without the wine in

 ",1
60,"Steal the night
Under my baited breath 
Waiting to exhale
All of my past mistakes
Release the pain
Of my caustic memories
Into the disaster of the light
Shining my shame
Across the rolling plains
Of barren hearts
Bleeding in despair
Of death's anticipated wish
",1
61,"I wanted to write a poem
All meaningful and shit
But my brain has turned to custard
So basic'ly
This is it. 

",1
62,"is Heaven like
a Mall or
mausoleum 

is it full
or is it empty

teeming with people or
barely a soul  ",1
63,"The USA's political system/Has become all about division/No compromise, no progress, no ascension/ ",1
64,"An angel kept me alive
Surounded yet protected
Not so ready to survive
Singled yet selected
  ",1
65,"On sanity's edge
teetering in the doorway
welcome the macabre.

      ",1
66,"whispering /
half-truths /
her dying /
carried /
inside of her 

   ",1
67,"left for dead he cries
it does not matter at all
thunder shakes the house

         ",1
68,"The rainy weather/makes me flinch about going/outside -- it's cold, wet!       ",1
69," 43

why do we
keep demanding more
says the 2%
but every day
living gets harder
money grows tighter
for everyone
but the President

count 126

 


",1
70,"surprised by sound
explosion of purpose
woodpecker
  ",1
71,"When she was born she was older,
Loneliness perched on  her shoulder,
Silently she held back her words, 
To observe the tune of their chords,
She changed herself to hide her stripes,
But Loneliness clings to her like a scythe.
 ",1
72,"Ruach perceived
Lightly
Yet discerned
Crossing millennia
Quantum tendrils
Caressing
Comforters blessing
Reality confirmed
",1
73,Learn from Kalam's / Wings of Fire / joie de vivre / n life on borrowed wings / is wafting like / a threadless kite   ,1
74,"Sometimes its not  
Just the thoughts matter
Without embellishments
No cosmic patterns
Freeflowing through eternal labyrinth
Nothing matters, but you and the thoughts.
-Amitav Chowdhury

 
     ",1
75,"when [the woods] no longer heal,
only the hem of His garment will do


",1
76,"Silver quicksilver
Silverfish quick he runs through
My hand like dry sand

 ",1
77,"tears
smudging
on top of a petal
a petal called love
see them bloom
-- blooming in to death.


",1
78,"Marc Kasowitz
Born too late
Would have shot Hamilton
And you know Burr's fate
",1
79,"the warm touch of faith
broke through the sad hearts, untill
the hope smiled again 
   (broke) ",1
80,"10 × -  shape and there’s nothing i -  do about,  here,  the ",1
81,"When I  see Love 
I C U 
I feel U 
I know U 
Already 
U 
Are to be Free ",1
82,Floating softly • Dreamily • On a cloud • Awaiting • Dawn's awakening •  ,1
83,Even doing poos and flushing loos uses lots of water/ ,1
84,"Flex when they're strong
Be like water when attacked,
Move slick through mean fingers
Bend till their spines crack
",1
85,"The plot ready~
the clash inevitable
~
yet, he fell to
the cutting room 
floor,

and is looking for a good tailor.

",1
86,"

what ever happened to marriage
did it die with the horse &amp; carriage
now it's all divorce
the carriage from the horse
why do we disparage?

  ",1
87,"She is like a rainbow
Even heavy downpour and harsh sun rays
Can't bring her down

    ",1
88,"""Remember""
Do memories
drop away from us
like falling leaves?
Surely we exist 
before this life.
Why can't we remember?
Let go.
",1
89,"Accumulate
to stimulate
Let written words
become your fate
defy the hate
then celebrate
Peace &amp; love
a more
kindly state

 ",1
90,"bouncy. awesome. absorbing. 
  ",1
91,"""If I die, call my past lovers to mourn my hazel eyes that once sparkled."" ",1
92,"hard to write
a poem when you
got nothing
in your head
except a
poem about
nothing in your head
 ",1
93,"emotion controlled
endured to
feel without holding on
artificial boundaries
where are we now love's revealed
a celebration
not some lovelorn field
what would come
from us who tarried there

 
",1
94,"I’m thankful that everything sweet is sweet bcos it is finite. My addiction to u would have bin unbearable had it bin infinite.
",1
95,"morning of Cover -
the notice moon
towards the ground

 ",1
96,Gna tweet a  i just wrote :/ my first poem ever (might i add) and i wanna say its just a poem! Im not going to do anything stupid!,1
97,"born in the 80's, feels i've lived several lifetimes

    380",1
98,"puzzled. steep. ossified. 
  ",1
99,Tablets like pixels/ clicking into place with each snap/ of synapse/ flashing into images//      Brain-scrabble     ,1
100,"Isn’t it funny
How a bear likes honey?
Buzz! Buzz! Buzz!
I wonder why he does?
- A. A. Milne
    ",1
101,"smelly. painstaking. cool. 
  ",1
102,"Whispers from the heart 
spill forth 
on a page untended. 
  ",1
103,"sigh...just  yr fucking 
yr fucking  
don't worry about rules, the construction, format
best novels broke the rules
",1
104,"Good morning to you,
close your eyes and take a deep,
breathe too, feel from it!
           ",1
105,"it will be for me, something selfish, nothing to share, no good will come of it for any other, it will be mine   ",1
106,"Delicious  
Creaking dirty bedsit stairs
She could never know  ",1
107,"domestic
goddess gone
feral

   ",1
108,"next. humorous. wealthy. 
  ",1
109,"Taking this Step with Love
Taking this Step with Hope
Taking this Step the Confidence
Taking This Step For Tomorrow
 ",1
110,"+

And O soul, and see the village-mania crowns,
And where a thousand stars the silence of the fleezy stars!
These snaps press clippers and the apprised man through the leaves,
The ancient forces more of living days, and the frust and voice, veil;

  ",1
111,"She was nothing, he made her queen , he paid huge price for it .. ",1
112,"She thought he would sate
her wildfire's hunger
but instead he flamed the fire

 ",1
113,"Accept your limits
Do not cross over the line
and you will be fine
 ",1
114,"Sighing at the thought 
Aching inside 
Wantin to indulge 
Desires in carnal form 
Under sensual captivity
Escaping seductively 
",1
115,Have some of my excellence Spread it about It's ripe for the taking ,1
116,"""Hypocrites""

They only
Get angry
When you
Are right

  ",1
117,"When everyone's crazy, no one notices.           ",1
118,"Energy lagging
Wait for things to  my way 
Writer’s block be damned 

         ",1
119,"Core Values
Written by Satish Verma.
  ",1
120,"hard to stop
the river of 
a free mind
",1
121,"I am sure.

Citizens:
No, no; no man but prophesied revenge for it.  ",1
122,"Falling in love hurts
When you land in brambles you
Mistook for roses.

   ",1
123,"

he thought
to go over the falls
in a barrel
after all
he was fearless
he was brave
&amp; just naive enough
to believe
all those movies
where
all the other fools
survived
long enough
to walk away

count 191

 


",1
124,"Driving forever,
From sports game to shooting spree,
Life of a news man.

    ",1
125,"he sees snakes
and can barely move his
wheelchair
but he is a splendor of smiles
with his birthday balloons


",1
126,i want to find~that place~where the sun sets~the earth meets the sky~and out of what estate~each thought arises  ,1
127,"24 A.P.

     The morn in the side of the recesses,
      The glared or who she lay most evening,
         And but wherever can worsh is thine.

  ",1
128,"I dream
Of a home
Under the sky
As we rest
To watch
The glowing moon, 
&amp; twinkling stars

",1
129,"Leaning forward 
he saw 
something more 
     ",1
130,"Lost in thoughts
she didn't know how a sweet
butterfly sniffs her!


 
",1
131,"Federal June closer 
seagulls
on her daughter

 ",1
132,"prolific writer ~
works were so directionless ~
never published much

  
 =",1
133,"You know her kind
She sheds her skin
At midnight

Unmasked
Unfettered
Unbound

Under the haloed moon
She draws you in
With dark arts &amp;
New trickery

      ",1
134,"a raftman--- 
a laver farm 
in the nifty old downtown 
  ",1
135,"After the racket,/ the harsh roar of lawn mowers,/ the sweet smell of grass.
   ",1
136,"Subtle thoughts ..
Yet clear picture..
From those eyes to lips..
I Cud Write a Book,
And be more precise.. 
  💋",1
137,"

this bread
toasted
the crunch
as I take a bite
fills the universe
with an exquisite sound
my lips
lightly dusted with flour",1
138,"Evening getting dark,
cold air sneaks in so smoothly,
it’s late in August! 
       ",1
139,"cattle truck
after cattle truck arrives
in Belsen -
a bitter wind blows
across the face of humanity

   ",1
140,"Potentially 
All we
Wonderful 
Are

Wonderful 
Potentially 
All 
Are we

We
Wonderful 
Potentially 
Are all 

We are 
All potentially 
Wonderful 

  
",1
141," ladies, and gents, for your saftey, we will be watching you, we will keep you here on tape, with every move you make, keep safe",1
142,"How you make your play, readily waiting to lead the weak astray.
In there desperation you offer only eternal damnation.
  ",1
143,"our warm breath
coaxed by a full-moon
eddies softly between us.
two sleeping silhouettes
swaddled..in ribs of moonlight
 ",1
144,"relieved. callous. known. 
  ",1
145,"Ever so simple and humble/
Blanket of grass was always home

  ",1
146,Wasn't a contest/She always held the upper/hand; I was her toy.       ,1
147,"her veterany lightning
Their we stuck bate wing-new
the rain on covers

 ",1
148,"In a place called Freedom,
Watch slaves and see them
Dig their own graves.
  ",1
149,"He'll miss me when I'm gone.
 ",1
150,"They fly kites of greed
Upon fields of tulips
Childlike blowing bubbles
Believing their needs
Will be met today
By what they make
Forgetting their needs tomorrow
Are never met by cash
But by family time &amp; smiles
Still they join the dash
Wringing hands for hands sake

",1
151,The days keep getting longer/ Motivation more elusive/ Waking up in the wrong life ,1
152,Well just wrote a  abt being a bloody tree and I really enjoyed it!  And it's sort if ok!,1
153,"lying in the night
they tingle on my tongue, as
words escape their bonds
   ",1
154,"her hands
her promises
her smile
all are part
of her elixir 
a potion of love
that strangles your heart
happy death
 ",1
155,"I just wrote a poem that made myself cry. Sometimes, just sometimes, I realize that I'm pretty good at this  gig. 
   ",1
156,"Be not Afraid.
The darker it Gets.
Light is easier to See.
   ",1
157,"I've always seen
tear-shaped stars
no new discovery here
they fall from my eyes
unbidden.

  ",1
158,"icy sidewalks • 
fear • 
of flying •  1247",1
159,"summertime - 
living is
uneasy

   ",1
160,"- slamming door - the roses in the vase - quiver -
  ",1
161,"after midnight 
before the dawn 
a star glitters
   (before) ",1
162,"a white church 
overwhelmingly clear
in its purpose 
against the blue
summer sky

 ",1
163,"Male domination
Is a curse on humankind
Exorcise the curse
  ",1
164,"her unripened 
flesh
was in the woods
and the hunter in me
became
a lover
 ",1
165,Remembering Your moans are my seductive tablets        ,1
166,"The shackles of old thought patterns break
The light shines brighter now
Liberation.
  ",1
167,"How can you see me
In your dark night of the soul 
Unmasked and frightened 

   ",1
168,"As I lay dreaming…
-Sudden Death-
-L.Jordan’s  
       ",1
169,awake ~ but shivering ~ cold touch of nightmare ~ haunts her ~ still    ,1
170,Clouded vision/looking for acceptance/without the right hue/your search is endless  ,1
171,"-
Hurling words like sticks
&amp; stones is sure to ruin
your lovely glass house.
-
 (hurl)
    ",1
172,"Ï am trying hard..✨
But Its Not easy ...✨

        ",1
173,"I crawled onward and dusted empty shelves
Then took it apart to burn in the fire
I could finally stay warm tonight
 ",1
174,"They come,
seeking God's blessing,
on their union,
with their minds,
in another place,
thinking that,
love will be enough.

",1
175, we will pose a  by .,1
176,"I'm not a piece of flesh for you
To devour like hors d'oeuvres
I will give you anything -
But you must give me yours.

",1
177,"You dont
Understand My Words
But My Words are Not
Meant to Be read
They are pages Which Ï rip
Dont stitch Them
Ï Plead ..
 ",1
178,"In my sleep
A dog is barking
The Grey Man
Wrinkled, small
Concealed
Promising
Unbridled Pain
For untold time
This persuasive
Dark
Inevitable
",1
179,"Start give from your heart,
all that so good inside you,
let it out so true
       ",1
180,"providing comfort
- mysteries
of the January moon

   ",1
181,"

the truth was
there was no antidote
for her condition
no cure
only time
would ever dare
to heal a broken heart
if only she let it
when the tears come

count 150

 


",1
182,"Some (humble) *PEACE 
       (within was)
         torn but...
 
Each &amp; Everyday
(another piece of)
       you is
     *BORN 
 
",1
183,"Grasping 
the unbreakable 
blue sky 
with fragile
leaves --
trees quivering 
in their huddled
masses --
summoning
solidarity.
",1
184,"Alone by the lake~
sound of water remembered
by skipping old stones.

     ",1
185,"Open foolish heart 
callously torn apart 
  ",1
186,"Broken hearts 

Broken promises 

Shattered dreams 

&amp; broken bones 

Become 

Glittering pieces 

Of poetry 

  ",1
187,"-Follow me to the outskirts of town where the trees are heavy, it's here where she lays, unmoving, where eternity can't be challenged!",1
188,"accurate. tangy. blushing. 
  ",1
189,"I've always
been able to see
the order
in randomosity
the spiral
of energy
that flows
out of you
and into me
and I've known
inevitably
that the acceptance
of chaos
is all we need
to understand
we are not the end
of existence
     ",1
190,The hungry dog ~ the stooping beggar ~ a red ferrari ~ a tired cop ~ this red light is India or Bharat ~ ,1
191,"Lovely Lady light,
blazes beauty bright.
       ",1
192,"

I am
the swirling feather
at wing's end

wind takes me
uses me
shakes me
lifts me

all so I could fly
to you.
.",1
193,"Pandemic, exit strategy defeated 
We unforgettably die, this apocalyptic gift to the universe 
Mankind eradicated, a blessing for planet earth, its creatures. 

  ",1
194,I'm a penny on heads / pick me up.   ,1
195,Reality dawns ~ darkness of night's dreamy sleep evaporates ~ this life was a mistake ~ future life awaits ~ new challenges. ,1
196,"Infinity isn't wintery risk,  savage miasma of apathy~   ",1
197,Shake off that sentimental something that's slowly driving you mad and take the time to twirl for the world on Tuesday.  ,1
198,On a quiet afternoon~ the cawing crow~ my snooze button ,1
199,"Peeling the mustache,
he unmasks,
face only free in darkness.

 1342    ",1
200,"everyday
she tucks her bony, soft hand
in mine


",1
201,"I know I trust you
Because we've both been through fire
And hardened to steel
 (trust)    ",1
202,"slowly filling
my notebook's pages
cherry blossoms

 ()  ",1
203,"the past changes
as much as the
evening sky,
maybe it's not
even past per
Faulkner, like the
order you add
things when cooking
             ",1
204,"He was from
the kind of neighborhood 
where stainless steel grills
and barrister bookcases sit
on the corner as trash.
Home or hell -
depends on who you ask.

   ",1
205,"Imprisoned by pieces of history that dont even fit 
 ",1
206,"'s a-gungle from its crime

  The masks and these are these bolders and the same;
As the silence beware, the fearful trip thems and well-masters and the scene,
A bullet-throng, all down the forenoon, and the sun sets through the sea,

  ",1
207,"He handed me the ring

and I saw that the light dancing inside the diamond sparkled more than I ever had.

",1
208,"I shall pretend
that I forgot
the words which
made our poetry of memories!
Hereafter, its a paradise of poesy lost and passion plummeted with a descending sun!

  ",1
209,"The  come calling 
When I’m not around 
Perhaps I’ll always be 
Earthbound 
I’m out picking flowers 
Or gazing at the sea
Every time those angels 
Come looking for me 
Sun on my shoulders 
Song on my lips 
Interesting 
My angels 
Miss all of this 

 ",1
210,"You never
make
sturdiness
a requirement
to be well
rooted
in your love.

",1
211,"In the beginning
No Atheists
No Jews
No Christians
No Muslims
Bang
It began
Everything from nothing
Pretty miraculous to me
",1
212,"Warm
against her skin
she kept his face
in love’s locket
because he had no heart
  ",1
213,"guilty of love crimes
a jury of her peers
sentences her to a lifetime
behind iron tears

 ",1
214,"the knowing mind thinks
it knows all there is to know
until it does know

    ",1
215,"Father taught
Much harder
Destroy than build
Atheism seeks that
's green fields
Care plowed
Belief sown
&amp;sewn
2Go
",1
216,"There's no  in this room.
But there is enough light,
A sunset shade of light,
More towards the red,
Enough for the weariness to rise,
Enough for the shadows to play,
Enough for a deep nightmarish slumber,
But the itch doesn't let sleep.

",1
217,noses • thru the knothole • furry friends  ,1
218,"I
Don't think 
Love needs a 
Cure worth trying  out

It's a viral infection 
Of the heart 
With different 
Symptoms 

      ",1
219,"Fingers
Dapper

Taper and

Sweet
Root

Through the
Wrinkles.

",1
220,"oceanside
until the dishwasher
stopped

   1829",1
221,"But some few minute more, I will be in the air caressing the sun and winking the moon. But some few minute more, I shall dance ",1
222,"My bare arms and feet
feel the spring sunshine,
I remember how to be
warm again.

      ",1
223,"Am I the good or the bad ? Am I suppose to be sad or glad ? Confusion, is all I feel. Am I making out of this a big deal ?  ",1
224,"Liquid
The sum of our movement~

Daily Prompt Thu 5/4

""liquid""

       ",1
225,"-
Please lavish me with
opulent phrases crafted
to weaken my will!
-
 (lavish/opulent) 
  ",1
226,"Thunderstorms reign
In a head already 
Filled with madness,
But when storms pass
There will be fireflies
To spotlight the calm
After a hurricane.

~K.T.

     ",1
227,"The whole worlds dark
The sky is gray
But that's not the case
It's actually sunny
But the former is all I perceive

       ",1
228,"behold 
the blind spot, 
registration black. Bodyguard, 
pinprick behind 
thine eyes; 
sheltering, drinking 
the dark.

",1
229,"

the mountain
had always been
my own temple
that place
where the skies
kisses the earth
not as a lover
but as child
seeking it's parents
blessing

Count 145

 


",1
230,"Driven by passion 
filled with desire 
Hot to the touch 
her soul was on fire
 ",1
231,"   

just when I thought
all the mountains away
coyote sings",1
232,"Pledge allegiance to the freedom lie
built on the wreckage of 
our broken trust
All your gifts to me 
are Smallpox blankets
     ",1
233,"If in bare under thunder you fake and weasel face your strike, know your crease is folder found now in judgement ledger
",1
234,"I feel quite queasy
normal for my first time in
zero gravity 🚀🛰
  (gravity)        ",1
235,"A Linnet In A Gilded Cage
Written by Christina Georg Rossetti.
    ",1
236,"Burning desire, my hearts a choir, singing just for  you... 💗🎶         ",1
237,"look on the deep in
snowflakes step
in the market

 ",1
238,"Tightly in my arms
The love of my life
The light in my night
Taking the last breath
Till death do we part

 
 
",1
239,"the violins
strain to worship
the shed tears
as the bow cuts 
to her core
 ",1
240,"The Irish ferry
Drifts with the tides bonvoyage 
To its motherland

     ",1
241,"Another Repeat
You Can Taste Yesterday's Meat
Your Train is Cancelled

*🦴

 
 
",1
242,"779/ winter solstice leans up on its hind legs out of the darkness
  ",1
243,Will be uploading my   '' TODAY on both my  &amp;  accounts,1
244,Self-serve ice cream -- fun!/Mix and match the cold flavors!/Have ice cream today!       ,1
245,"are your eyes
green
or are they blue
all I know is
I want to touch your thigh
and kiss you
",1
246,"""You look like you have the  of the world on your shoulders.""""No.Only the weight of my own world.""  ",1
247,"final silent night
then the santa bomb explodes 
loud christmas morning 

    ",1
248,"Each night
  The late owl
Twho whooos
 A story    
                    deep
  In the forest
   
Of listening
            Trees
",1
249,"blood stained
broken pieces
her harsh words
must be
bleeding too ~

~ and he could
feel the pain ~

",1
250,Physical being lost in past/ Images drift in haste/ Memories stayed and fade/ While subconcious play wile in head ,1
251,"Weak Moment Gone

my tails have turned to wings,
I cried every other second.
but I knew what I was doing

   ",1
252,"

there's always magic
in the first snow
of the season
as it dances
with the last leaves
of the fall
turning the ground
to a kaleidoscope
of hope
for the heart
to cherish
&amp; hold

count 176

 


",1
253,"she spends her days
unspooling lies
he wove around her
under the guise
of a loving cocoon 

  ",1
254,It breaks  my heart To bring you down To see my pain To watch my frown       ,1
255,"I love it when time flies by,
And you'll realize the truth because of past 

 
",1
256,"Beauty has many textures
from velvet to steel

but in the twilight hour
I say, only one feels real

lay your hands in the
hollow of her back
&amp; taste her in the flesh

moonlight on honeyed skin
slide into dream states of fluid silk
heat to heat
love spoken with fluency.

",1
257,"sadness and swords
sadness and swords
blood thirsty 
and a thousand cuts
bleed the same way

  ",1
258,The cock crows/the frog croaks/man snores/nature's sublime rhythms. ,1
259,"Half the trick
is in the load
but the other half
is in the rolling
of the dice

 ",1
260,"My friend left today
I expect many stories
When he comes back home
    ",1
261,"Joy and suffering
In profusion
Evolution’s
No solution
Can’t have one
and not the other
Life and death
Are sister-brothers

",1
262,"I got these roses
Red with a long stem
Where love discloses
That you are my gem

I will keep them sound
Trim off all the thorns
Hearts can be around
Fragrance for the morn

       ",1
263,Doesn't make sense to/have zero-tolerance rules/for our public schools       ,1
264,".

The silent language
of lovers is an old code
only they can break.

.

 (silent/language)
   

.",1
265,"/vault :  
vault not impetuous 
ruminate regurgitate 
mind empowered 
haiku enjoyed 
oblectates 
",1
266,"hissing. uneven. muddled. 
  ",1
267,Sunshine heating my skin ~ surf pounding ~beach mermaids and kites ~  a dream for it is winter now  ,1
268,"And so the river rushes passed us,
Swiftly flowing, growing fastness,
Inexplicably towards an end 
Unseen farther down the bend.
",1
269,october ~ caterpillars inherit ~ the gardens    ,1
270,"we are not angels
not saints
.
.
.
but not demons
and nor animals.

 ",1
271,"It smelled like fall today
a morning memory
pulling at sleeping parts
longing for fire
hungry for the harvest

 ",1
272,"The long fall of 
a corrupt kingpin
begins
one lie at a time

Might have to pardon yourself
as no one else will

No exoneration
or immunity awaits

History is a cruel mistress.
She’ll grab you in your lame legacy
  ",1
273,It just seems too easy. Nothing intellectually stimulating about it at all. ,1
274,"Ultimate Freedoms
Can Incarcerate
Without Trial

     ",1
275,"Swift dark
Lifted
Winged lark
Sun gifted
Azure carpet
Crystallises
Above
Where was gloom
Now bloom
Sun kissed
  ",1
276,knew you ate oranges at 2 / before I knew your name  ,1
277,"Moon viewing -
It I can see
your heart I cannot
   ",1
278,"Sung of this Heart
Sung of our duet
Sung with the passion romantic
Sung Of This Love
Sung of I  You
 ",1
279,As i lay years after birth realise only thing hurt is living with lost dreams few pursue the never ending sequel yearning lost dreams ,1
280,"forget me
just like that bird
that night scared away
the song of yesterday 
can't last ...
it's trained by life
the ending was 
long ago 
cast ...my love
night was never really 
our friend....

 ",1
281,"Inspired by many but I follow my own heart // enlightened by a few, guided by my own spark //  ",1
282,"A transient wish
She came &amp; went 
But Inscribed my heart
Without consent 

  ",1
283," shout
""You people won't work with us""
 shout same
  ",1
284,"A pentatonic scale; not at all platonic,not for sale. No use if you play it with hands that are frail. Make music make magic  ",1
285,"Epilogue
Written by Louis Macneice.
    ",1
286,"a breeze stirring
the daffodils
to waken... ",1
287,"P

If b is to bare
Then P is to Place
To Push or Pull
To Put in space

",1
288,"From A Good Boy:

I’m drawn to complicated women 
perhaps because my mother was crazy
incestuous implications 
a fast track to rejection.

You don’t need to say no bro 
you only need to lie low 
you know what you’re feeling is right
no doubt you should run.

 ",1
289,"Whenever I'm sad, I just paint your face in mind / I smile 'coz it's your heart I always dream to find.  ",1
290,"A squat scribbling finch
The corn bunting hunts
His harem amongst  
Barley, wheat and hay
  ",1
291,I listen to my trembling heart beating hard in my chest/I pray for when daylight comes/when all good moods appear.   ,1
292,"Another beer
goes quickly down.
Trying to find
what it all means.
   ",1
293,".
A thousand flowers
inhabit your body

let me discover them
one by one
&amp; unfold
their petals.

 ",1
294,"Court of Spain asks aid from hell,
I do this thing
In all the cunning of the palace of his transfer
From the Himalayan snows.
And, when the heather bells
That hide my hiding place;
Grasses run like a Winter shroud
Than thou revoke their flawless rest?  ",1
295,"evening silence
from work
the blue moon of snow

 ",1
296,"sunset dimmed by clouds. sea of simulation waves lap at the shore. flame girl burns someone else's sky today. alone.
 ",1
297," 154

only age
had slowed down
his resilience
&amp; even then
he still dared to race
the dawn
even if it now only
to the edges
of the front yard

count 135

 


",1
298,"a courteous heart

navigating her love 

with grace and care

 614    ",1
299,"my rhymes have many flaws
don't conform to any laws
nightly made with shining eyes
growling that I should be wise
to teeth and hidden claws

    ",1
300,Shaking out yesterday ~ turning it ~ inside out.    ,1
301,"Hatred spits howling darts of aerodynamic lead,
Each irrevocably comitted despite indifference. 
Their thoughts irrelavent ",1
302,"anna's hummingbird her cocktail dress slowly losing its sequins 

       Silk~

  
 

  
",1
303,"Oh what a 
Dissected illusion
Love is/ 🥀
~a.t 

  
",1
304,Implement Winning Actions      . New Video!,1
305,her shifting truth / cloud /  rain /  ground / mud //  ,1
306,"Dance with meI know you can
Swaying to the rhythm we love
Hand in hand
Then together we'll leave
Our prints in the sand
  ",1
307,"may the skies 
always find room for your eyes
may the sun surrender its tears
and may the mist 
make you young beyond your years
subtle lady 
life is yours....

  ",1
308,"True love is a ,
Like the placebo effect,
Or Stockholm syndrome

 ",1
309,"his love an invisible stain
like a secret code
could only be seen
when held over a flame

 ",1
310,Fall into me•Let yourself•Know love•For the first time•In your life ,1
311,"I will be doing a poetry-reading for all of you during the weekend.

Would you like me to?




",1
312,"where you live
a silent world
of 
color 
magic 
wisdom light
night runs for cover
as bright rules the day

 💕🖤",1
313,"The issue with a narcissist 
Is that they don’t know they’re a narcissist 
They’re a mixture
Of one part martyr 
One part savior 
Dashed with a self righteous flair
With a crust that thick 
How do you get to the center 
Where it’s piped with insecurity 

 ",1
314,"Outside the front door
He breathed a sigh of relief
Fumbling for his keys
 ()        ",1
315,"february - -
a black eye
slow to heal. 2.24.20 
    ",1
